FindingID,ReviewID,Protocol,InterventionID,Intervention_Name,Comparison,OutcomeMeasureID,Outcome_Measure,Outcome_Domain,Period,Sample_Description,Is_Subgroup,Outcome_Sample_Size,Outcome_Measure_Intervention_Sample_Size,Outcome_Measure_Comparison_Sample_Size,Intervention_Clusters_Sample_Size,Comparison_Clusters_Sample_Size,Intervention_Mean,Comparison_Mean,Intervention_Standard_Deviation,Comparison_Standard_Deviation,Effect_Size_Study,Effect_Size_WWC,Improvement_Index,p_Value_Study,p_Value_WWC,ICC,Clusters_Total,Is_Statistically_Significant,Finding_Rating,ESSA_Rating,L1_Unit_of_Analysis,FavorableUnfavorableDesignation
6147,1901669,Primary Mathematics,20,Connected Mathematics Project (CMP),Business as usual,16120,Problem-posing performance,General Mathematics Achievement,3 Years,Overall - Grade: 11; middle third subgroup,TRUE,45,26,19,10,10,0.27,0.05,0.87,0.23,,0.31792,12,,0.355,0.2,,FALSE,2,,Student,
6148,1901669,Primary Mathematics,20,Connected Mathematics Project (CMP),Business as usual,16120,Problem-posing performance,General Mathematics Achievement,3 Years,Overall - Grade: 11; bottom third subgroup,TRUE,45,26,19,10,10,0.11,0,0.72,0,,0.47854,18,,0.166186273,0.2,,FALSE,2,,Student,
6151,1901670,Primary Mathematics,20,Connected Mathematics Project (CMP),Business as usual,16121,Balanced Assessment (BA),General Mathematics Achievement,1 Year,Overall - Grade: 6,TRUE,500,338,162,18,9,,,,,0.3,,,,0.99999,0.2,,FALSE,2,,Student,
6157,1901701,Supporting Postsecondary Success,1278,prohibiting Internet access,Internet access in classrooms: Unrestricted use,16124,Final exam test score: Short answer,Academic achievement,1 Semester,Overall - Full sample,TRUE,507,259,248,259,248,,,,,0,0.179732541,7,,0.043958578,,,TRUE,1,,Student,
6161,1901701,Supporting Postsecondary Success,1278,prohibiting Internet access,Internet access in classrooms: Tablet only,16125,Final exam test score: Multiple choice,Academic achievement,1 Semester,Overall - Full sample,TRUE,466,262,204,262,204,,,,,0,0.129789757,5,,0.165560941,,,FALSE,1,,Student,
6168,1901737,Transition to College,91,Online Algebra I credit recovery courses,Business as usual,16128,Cumulative math credits earned,Progressing in school,2 Years,Full sample,FALSE,1015,512,503,512,503,2.39,2.51,1.29,1.25,-0.1,-0.094393307,-4,0.089,0.133740961,,,FALSE,1,,Student,
6173,1901737,Transition to College,91,Online Algebra I credit recovery courses,Business as usual,16132,Score on the end-of-course posttest,General academic achievement (high school),1 Semester,Overall - Full sample,TRUE,1224,613,611,613,611,272.97,279.62,34.75,33.62,-0.19,,,0.002,0.99999,,,FALSE,1,,Student,
6197,100367,Developmental Education,257,Louisiana Opening Doors Program,Business as usual,2130,Cumulative GPA (2.0 and higher),Academic achievement,4 Semesters,Overall - First two cohorts,TRUE,537,264,273,264,273,47.5,36.5,,,,0.274550266,11,,0.001623176,,,TRUE,1,,Student,
6042,1901580,Science,13,The LASER Model,Business as usual,2448,Partnership for the Assessment of Standards-based Science (PASS): Multiple Choice,Science Achievement,3 Years,Overall - Female,TRUE,1093,531,562,11,11,330.93,332.8,84.14,99.39,-0.02,-0.020246769,-1,0.69,0.738198321,,,FALSE,2,,Student,
6043,1901580,Science,13,The LASER Model,Business as usual,2449,Partnership for the Assessment of Standards-based Science (PASS): Open Ended,Science Achievement,3 Years,Overall - Non-IEP,TRUE,1373,749,624,8,7,86.72,86.24,14.04,13.09,0.04,0.035231994,1,0.475,0.516168592,,,FALSE,2,,Student,
6044,1901580,Science,13,The LASER Model,Business as usual,2449,Partnership for the Assessment of Standards-based Science (PASS): Open Ended,Science Achievement,3 Years,Overall - IEP,TRUE,154,83,71,7,6,70.25,70.24,20.04,23.55,0,0.000457982,0,0.992,0.997743236,,,FALSE,2,,Student,
6047,1901580,Science,13,The LASER Model,Business as usual,2449,Partnership for the Assessment of Standards-based Science (PASS): Open Ended,Science Achievement,3 Years,Overall - Non-FRPL,TRUE,657,342,315,8,7,88.91,89.35,12.75,10.98,-0.04,-0.036826338,-1,0.602,0.637578052,,,FALSE,2,,Student,
6050,1901580,Science,13,The LASER Model,Business as usual,2449,Partnership for the Assessment of Standards-based Science (PASS): Open Ended,Science Achievement,3 Years,Overall - Female,TRUE,786,434,352,8,7,68.21,66.37,20.07,19.47,0.09,0.092823371,4,0.549,0.196631938,,,FALSE,2,,Student,
6051,1901580,Science,13,The LASER Model,Business as usual,2450,Partnership for the Assessment of Standards-based Science (PASS): Performance Test,Science Achievement,3 Years,Overall - Non-IEP,TRUE,1263,688,575,8,7,60.86,55.64,24.08,22.64,0.22,0.222606559,9,0.001,0.317652074,0.17,,FALSE,2,,Student,
6057,1901580,Science,13,The LASER Model,Business as usual,2450,Partnership for the Assessment of Standards-based Science (PASS): Performance Test,Science Achievement,3 Years,Overall - Male,TRUE,675,367,308,8,7,55.9,51.36,24.26,22.97,0.19,0.191507103,8,0.007,0.465027458,0.23,,FALSE,2,,Student,
6062,1901575,Review of Individual Studies,1270,SmartStart K-3 Plus program,Business as usual,15865,Woodcock-Johnson III (WJ-III): Picture Vocabulary,Comprehension,4 Years,Full sample,FALSE,1293,698,595,698,595,,,,,0.03,,1,,0.59121001,,,FALSE,1,,Student,
6069,1901575,Review of Individual Studies,1270,SmartStart K-3 Plus program,Business as usual,1145,Woodcock-Johnson Revised (WJ-R): Broad Reading subtest,Reading achievement,4 Years,Full sample,FALSE,1313,711,602,711,602,,,,,0.111,,4,,0.045955912,,,TRUE,1,Evidence Tier 1,Student,
6071,1901585,"Teacher Training, Evaluation, and Compensation",1275,Florida Master Teacher Initiative,Business as usual,1978,Standardized Score for Mathematics,General Mathematics Achievement,3 Years,Full sample,FALSE,10587,5313,5274,20,20,,,,,-0.037,,-1,0.325,0.057930848,,,FALSE,1,,Student,
6076,1901585,"Teacher Training, Evaluation, and Compensation",1275,Florida Master Teacher Initiative,Business as usual,1978,Standardized Score for Mathematics,General Mathematics Achievement,3 Years,Overall - Teachers in Masters program,TRUE,3859,392,3467,392,3467,,,,,-0.201,,-8,0.147,0.000195041,,,FALSE,2,,Student,
5495,100087,"Teacher Training, Evaluation, and Compensation",896,Cooperative Elementary School model,Business as usual,15906,California Achievement Test (CAT): Language mechanics,English language arts achievement,2 Years,Full sample - ,TRUE,873,411,462,21,24,0.03,-0.02,0.97,1.02,,0.0501185,2,,0.460393581,,,FALSE,2,,Student,
5496,100087,"Teacher Training, Evaluation, and Compensation",896,Cooperative Elementary School model,Business as usual,15907,California Achievement Test (CAT): Reading comprehension,English language arts achievement,2 Years,Full sample - ,TRUE,873,411,462,21,24,-0.07,-0.13,0.98,1.01,0.28,0.060189628,2,,0.375424016,,,FALSE,2,,Teacher,
5498,100361,Transition to College,99,ACT/SAT Test Preparation and Coaching Programs,Business as usual,15909,ACT Composite,General academic achievement (high school),0 Days,Full sample,FALSE,64567,3071,61496,3071,61496,21.3,21.2,4.5,4.5,,0.022221964,1,,0.230379986,,,FALSE,2,,Student,
5501,100087,"Teacher Training, Evaluation, and Compensation",896,Cooperative Elementary School model,Business as usual,15907,California Achievement Test (CAT): Reading comprehension,English language arts achievement,1 Year,Special education students,FALSE,76,40,36,21,24,-1.21,-1.4,0.83,0.65,,0.250667952,10,,0.278712227,,,FALSE,2,,Student,
5510,100087,"Teacher Training, Evaluation, and Compensation",896,Cooperative Elementary School model,Business as usual,15912,California Achievement Test (CAT): Mathematics computation,General Mathematics Achievement,2 Years,Full sample - ,TRUE,873,411,462,21,24,0.15,-0.14,1,0.99,0.29,0.291288288,11,,2.35281125494646E-05,,,TRUE,2,,Student,
5523,100103,Transition to College,323,Quantum Opportunity Program,Business as usual,338,Earned a diploma or GED certificate,Completing school,7 Years,Full sample,FALSE,1049,580,469,580,469,0.78,0.75,,,,0.101172357,4,,0.104320121,,,FALSE,1,,Student,
5525,100103,Transition to College,323,Quantum Opportunity Program,Business as usual,15915,Ever attended or currently attending a 2- or 4-year college,Credit accumulation,9 Years,Full sample,FALSE,1047,579,468,579,468,0.38,0.34,,,,0.105225009,4,,0.091530065,,,FALSE,1,,Student,
5526,100103,Transition to College,323,Quantum Opportunity Program,Business as usual,15916,Completed at least 2 years at a 2- or 4-year college,Credit accumulation,9 Years,Full sample,FALSE,1040,575,465,575,465,0.19,0.16,,,,0.126101466,5,,0.044072037,,,FALSE,1,,Student,
5527,100103,Transition to College,323,Quantum Opportunity Program,Business as usual,15917,Currently in a 2- or 4-year college,Credit accumulation,9 Years,Full sample,FALSE,1047,579,468,579,468,0.13,0.17,,,,-0.190972805,-8,,0.002319217,,,TRUE,1,,Student,
5533,100362,Single Study Review,218,Challenging Horizons Program,District-run after-school program,15924,Children's Impairment Rating Scale: Academic Progress,Academic achievement,,Full sample,FALSE,48,21,27,21,27,2.05,3.7,1.3,1.9,,0.932889056,32,,0.002419873,,,TRUE,1,Evidence Tier 3,Student,
5538,100367,Developmental Education,257,Louisiana Opening Doors Program,Business as usual,15931,Registered for any courses first semester,Access and enrollment,1 Semester,Full sample,FALSE,1019,505,514,505,514,82.2,76.8,,,,0.201611466,8,,0.00143327,,,TRUE,1,Evidence Tier 1,Student,
5686,1900629,Adolescent Literacy,742,READ 180®,Business as usual,15762,"Stanford Achievement Test, 10th Edition (SAT-10)",Comprehension,1 Year,Overall - Hispanic or Latino; 1 year of exposure,TRUE,1061,576,485,10,9,612.64,611.53,28.2,29.13,0.04,0.038744692,2,0.51,0.540775228,0.001,,FALSE,2,,Student,
5715,1900658,Adolescent Literacy,742,READ 180®,Business as usual,16002,Northwest Evaluation Association (NWEA) Measures of Academic Progress (MAP): Reading,Literacy Achievement,1 Year,Overall - Treatment-on-the- treated (TOT) sample,TRUE,617,334,283,334,283,,,,,0.184,,7,,0.023465222,,,TRUE,1,,Student,
5717,1900661,Adolescent Literacy,742,READ 180®,Business as usual,15993,Stanford 10 Vocabulary,Comprehension,1 Year,Cohort 1,FALSE,296,150,146,150,146,639.11,630.68,35.74,36.18,0.23,0.233926911,9,0.049,0.045114855,,,FALSE,1,,Student,
5720,1900629,Adolescent Literacy,742,READ 180®,Business as usual,15992,Stanford 10 Language Arts,Literacy Achievement,3 Years,Overall - Hispanic or Latino; 3 years of exposure,TRUE,447,248,199,10,9,626.09,625.32,23.92,23.5,0.03,0.032388143,1,0.661,0.768294057,0.015,,FALSE,3,,Student,
5745,1900661,Adolescent Literacy,742,READ 180®,Business as usual,16006,"Stanford Achievement Test, Tenth Edition (Stanford 10) Reading Comprehension subtest",Comprehension,2 Years,Overall - Cohorts 1 & 2,TRUE,294,147,147,147,147,,,,,0.04,,2,0.602,0.731898104,,,FALSE,1,,Student,
5749,1900661,Adolescent Literacy,742,READ 180®,Business as usual,1161,Dynamic Indicators of Basic Early Literacy Skills (DIBELS): Oral Reading Fluency subtest,Reading Fluency,23 Weeks,Overall - Cohort 1; grade 5,TRUE,132,68,64,68,64,110.76,108.67,27.55,20.4,,0.085176959,3,0.11,0.625603152,,,FALSE,1,,Student,
5750,1900661,Adolescent Literacy,742,READ 180®,Business as usual,16008,Stanford 10 Spelling subtest,Alphabetics,23 Weeks,Overall - Cohort 1; grade 5,TRUE,132,68,64,68,64,637.2,634.14,29.63,35.61,,0.093106311,4,0.11,0.593826181,,,FALSE,1,,Student,
5755,1900629,Adolescent Literacy,742,READ 180®,Business as usual,15993,Stanford 10 Vocabulary,Comprehension,1 Year,Overall - Female; 1 year of exposure,TRUE,1075,563,512,10,9,613.77,612.44,30.53,30.94,0.04,0.04325564,2,0.609,0.479298382,,,FALSE,2,,Student,
5756,1900629,Adolescent Literacy,742,READ 180®,Business as usual,15762,"Stanford Achievement Test, 10th Edition (SAT-10)",Comprehension,2 Years,Overall - Female; 2 years of exposure,TRUE,665,340,325,10,9,626.81,625.73,25.07,26.95,0.04,0.041482331,2,0.469,0.644632322,0.01,,FALSE,2,,Student,
5763,1900629,Adolescent Literacy,742,READ 180®,Business as usual,15992,Stanford 10 Language Arts,Literacy Achievement,1 Year,Overall - Male; 1 year of exposure,TRUE,1479,786,693,10,9,595.12,594.96,24.22,26.31,0.01,0.006340755,0,0.902,0.939012678,0.02,,FALSE,2,,Student,
5768,1900629,Adolescent Literacy,742,READ 180®,Business as usual,15762,"Stanford Achievement Test, 10th Edition (SAT-10)",Comprehension,3 Years,Overall - Male; 3 years of exposure,TRUE,587,327,260,10,9,641.26,638.07,22.37,24.51,0.13,0.136490178,5,0.133,0.231306865,0.03,,FALSE,2,,Student,
6198,100367,Developmental Education,257,Louisiana Opening Doors Program,Business as usual,16140,First semester GPA (2.0 and higher),Academic achievement,1 Semester,Overall - First two cohorts,TRUE,537,264,273,264,273,49,36.9,,,,0.300489409,12,,0.000573383,,,TRUE,1,,Student,
6232,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,16146,Planning to attend a 4-year college (%),Access and enrollment,1 Year,Grade: 10,FALSE,676,399,277,399,277,76,62,,,,0.401450367,16,0.013,5.13080489317197E-07,,,TRUE,1,Evidence Tier 1,Student,
6233,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15850,Five-year high school graduation rate (%),Completing school,5 Years,Full sample,FALSE,1594,905,689,905,689,85,82,,,,0.132212563,5,,0.009375126,,,TRUE,1,Evidence Tier 1,Student,
6236,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15853,Passed the end-of-course exam in English I (%),General academic achievement (high school),1 Year,Grade: 10,FALSE,676,399,277,399,277,91,86,,,,0.301691042,12,,0.000140192,,,TRUE,1,Evidence Tier 1,Student,
6238,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15855,Continued enrollment (%),Staying in School,1 Year,Full sample,FALSE,676,399,277,399,277,94,89,,,,0.400035538,16,,5.60422296569385E-07,,,TRUE,1,Evidence Tier 1,Student,
6240,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15848,Absences (days),Attendance (high school),1 Year,Full sample,FALSE,1554,898,656,898,656,4.7,6.3,5.56,7.89,,0.195577688,8,,0.000169969,,,TRUE,1,Evidence Tier 1,Student,
6241,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15872,Completed postsecondary credential (%),Attainment,4 Years,Overall - First-generation,TRUE,643,369,274,369,274,23,3,,,,1.372807898,42,,0,,,TRUE,1,,Student,
6243,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15872,Completed postsecondary credential (%),Attainment,4 Years,Overall - Free/reduced-price lunch,TRUE,790,450,340,450,340,23,2,,,,1.624820715,45,,0,,,TRUE,1,,Student,
6248,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15850,Five-year high school graduation rate (%),Completing school,5 Years,Overall - First-generation,TRUE,623,356,267,356,267,82,78,,,,0.151744387,6,,0.061854723,,,FALSE,1,,Student,
6252,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15850,Five-year high school graduation rate (%),Completing school,5 Years,Overall - Non-minority,TRUE,1026,566,460,566,460,86,81,,,,0.221219507,9,,0.000491332,,,TRUE,1,,Student,
6253,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15855,Continued enrollment (%),Staying in School,1 Year,Overall - Grade: 11 free/reduced-price lunch,TRUE,710,377,333,377,333,92,83,,,,0.518673884,20,,3.15091286395841E-11,,,TRUE,1,,Student,
6268,1901816,Transition to College,1043,Dual Enrollment Programs,Business as usual,16151,Persistence,Credit accumulation,6 Years,Full sample,FALSE,32908,16454,16454,16454,16454,,,,,0.42,,16,,0,,,TRUE,2,Evidence Tier 3,Student,
6270,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15856,On track for college at the end of ninth grade (%),College Readiness,1 Year,Overall - Grade: 9,TRUE,1355,797,558,797,558,93,85,,,,0.516130829,20,,0,,,TRUE,1,,Student,
6271,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15857,On track for college at the end of tenth grade (%),College Readiness,1 Year,Overall - Grade: 10,TRUE,1355,797,558,797,558,89,73,,,,0.663945942,25,,0,,,TRUE,1,,Student,
6278,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15849,On track for college at end of high school (%),College Readiness,1 Year,Overall - Minority,TRUE,466,283,183,283,183,75,67,,,,0.236239886,9,,0.013298776,,,TRUE,1,,Student,
6281,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15849,On track for college at end of high school (%),College Readiness,1 Year,Overall - Not first-generation,TRUE,814,473,341,473,341,82,75,,,,0.252938935,10,,0.000430247,,,TRUE,1,,Student,
6285,1901795,Transition to College,1043,Dual Enrollment Programs,Business as usual,15848,Absences (days),Attendance (high school),1 Year,Overall - Grade: 11 free/reduced-price lunch,TRUE,710,377,333,377,333,7.7,8.8,10.08,8.37,,0.042885417,2,,0.568927887,,,FALSE,1,,Student,
6287,1901817,Transition to College,1043,Dual Enrollment Programs,Business as usual,1911,College enrollment,Access and enrollment,6 Years,Full sample,FALSE,2458,1044,1414,1044,1414,80.9,72.2,,,0,0.296346717,12,0.0001,3.28992388887173E-12,,,TRUE,1,Evidence Tier 3,Student,
6295,1901817,Transition to College,1043,Dual Enrollment Programs,Business as usual,1912,College degree attainment,Attainment,6 Years,Overall - Minority high school students,TRUE,960,446,514,446,514,65,1,,,0,3.157621774,50,,0,,,TRUE,1,,Student,
6306,1901817,Transition to College,1043,Dual Enrollment Programs,Business as usual,1763,High school graduation (%),Completing school,4 Years,Overall - Male high school students,TRUE,1193,503,690,503,690,87,78,,,0,0.384783179,15,,2.31337504708051E-10,,,TRUE,1,,Student,
6307,1901817,Transition to College,1043,Dual Enrollment Programs,Business as usual,1763,High school graduation (%),Completing school,4 Years,Overall - Minority high school students,TRUE,960,446,514,446,514,87,82,,,0.23,0.232915205,9,,0.000440268,,,TRUE,1,,Student,
6308,1901817,Transition to College,1043,Dual Enrollment Programs,Business as usual,1763,High school graduation (%),Completing school,4 Years,Overall - White high school students,TRUE,851,493,358,493,358,89,83,,,0,0.305859084,12,,1.47536547590033E-05,,,TRUE,1,,Student,
6316,1901828,Beginning Reading,214,Success for All®,Business as usual,228,Woodcock Reading Mastery Test (WRMT): Word Attack subtest,Alphabetics,4 Years,Grade: 3 Cohort 1,FALSE,74,54,20,2,2,27.16,26.78,11.8,11.28,,0.032235484,1,,0.956231814,0.2,,FALSE,2,,Student,
6331,1901828,Beginning Reading,214,Success for All®,Business as usual,229,Woodcock Reading Mastery Test (WRMT): Word Identification subtest,Alphabetics,4 Years,Overall - Grade: 4 lowest 25% Cohort 2,TRUE,19,11,8,2,2,61.45,48.55,5.97,20.15,,0.898341887,32,,0.183183276,0.2,,FALSE,2,,Student,
6082,1901577,"Teacher Training, Evaluation, and Compensation",1272,VEX robotics,Business as usual,16095,Maryland School Assessment-Math,General Mathematics Achievement,1 Year,2012 Cohort,FALSE,652,166,486,166,486,,,0.98,0.99,,0.066760247,3,0.644,0.458293185,,,FALSE,2,,Student,
6088,1901583,Adolescent Literacy,1274,Arts for Learning Lessons Project,Business as usual,16098,Comprehensive Cross-Unit (CCU) Assessments,Literacy Achievement,3 Years,Overall - Grade: 3,TRUE,827,418,409,418,409,19.74,18.71,6.89,7.42,0.14,0.143783851,6,,0.03956163,,,TRUE,2,,Student,
6089,1901583,Adolescent Literacy,1274,Arts for Learning Lessons Project,Business as usual,16098,Comprehensive Cross-Unit (CCU) Assessments,Literacy Achievement,1 Year,Overall - Grade: 4,TRUE,517,265,252,265,252,26.08,23.53,7.31,9.64,0.3,0.298666405,12,,0.000780308,,,TRUE,2,,Student,
6093,1901583,Adolescent Literacy,1274,Arts for Learning Lessons Project,Business as usual,16099,Oregon Assessment of Knowledge and Skills (OAKS) Reading/Literature assessment,Literacy Achievement,1 Year,Grade: 3; 4; 5,FALSE,11829,5719,6110,16,16,0.25,0.28,1.02,1.02,-0.03,-0.0294099,-1,0.44,0.854334634,0.2,,FALSE,1,,Student,
6096,1901583,Adolescent Literacy,1274,Arts for Learning Lessons Project,Business as usual,16099,Oregon Assessment of Knowledge and Skills (OAKS) Reading/Literature assessment,Literacy Achievement,1 Year,Overall - Grade: 4 ELL,TRUE,84,37,47,4,5,25.73,19.65,6.03,7.63,0.87,0.863945387,31,,0.000174563,,,TRUE,2,,Student,
6114,71807,Single Study Review,1276,Institute for Student Achievement (ISA),Business as usual,16107,Graduate with advanced diploma,Completing school,6 Years,Full sample,FALSE,3157,1597,1560,8,12,4,14,,,,-0.825721142,-30,,0,,,TRUE,2,,Student,
6118,71807,Single Study Review,1276,Institute for Student Achievement (ISA),Business as usual,16111,Passed Regents exam: Local level,Completing school,6 Years,Full sample,FALSE,2114,1186,928,8,12,45,32,,,,0.335093739,13,,2.82995848976952E-13,,,FALSE,2,,Student,
6120,1901574,Review of Individual Studies,1267,Bay Street Reading Initiative (BSRI),Business as usual,16009,Massachusetts Comprehensive Assessment System (MCAS) English Language Arts (ELA) assessment,Literacy Achievement,1 Year,Overall - Grade: 3,TRUE,183,17,166,17,166,,,1,1,,-0.024896266,-1,0.901,0.922225812,,,FALSE,2,,School,
6121,1901574,Review of Individual Studies,1267,Bay Street Reading Initiative (BSRI),Business as usual,16009,Massachusetts Comprehensive Assessment System (MCAS) English Language Arts (ELA) assessment,Literacy Achievement,1 Year,Overall - Grade: 4,TRUE,183,17,166,17,166,,,1,1,,0.020912863,1,0.916,0.934638902,,,FALSE,2,,School,
6127,1901572,"Teacher Training, Evaluation, and Compensation",1268,Achievement Network (ANet),Business as usual,16079,Reading test score,English language arts achievement,1 Year,Overall - Non-Free or reduced price lunch,TRUE,2676,1338,1338,45,44,,,1,1,,0.01999439,1,,0.605428628,,,FALSE,1,,Student,
6129,1901572,"Teacher Training, Evaluation, and Compensation",1268,Achievement Network (ANet),Business as usual,16079,Reading test score,English language arts achievement,1 Year,Overall - Grade: 3; 4; 5,TRUE,13288,6594,6694,45,44,,,1,1,,-0.069996048,-3,,6.95649123113595E-05,,,TRUE,1,,Student,
5776,1900662,Adolescent Literacy,742,READ 180®,Business as usual,16011,"Stanford Diagnostic Reading Test, fourth edition (SDRT-4)",Literacy Achievement,1 Year,Overall - Cohorts 1-4,TRUE,364,186,178,186,178,665.41,660.12,48.85,48.16,0.11,0.108814956,4,0.03,0.294985853,,,TRUE,2,,Student,
5778,1900662,Adolescent Literacy,742,READ 180®,Business as usual,16011,"Stanford Diagnostic Reading Test, fourth edition (SDRT-4)",Literacy Achievement,1 Year,Overall - Cohorts 1-2,TRUE,241,128,113,128,113,664.78,661.94,27.8,25.74,0.11,0.105423553,4,0.31,0.394966987,,,FALSE,2,,Student,
5779,1900660,Adolescent Literacy,742,READ 180®,Business as usual,1503,Group Reading Assessment and Diagnostic Evaluation (GRADE): Vocabulary subtest,Comprehension,1 Year,Overall - Full sample,TRUE,264,133,131,133,131,92.89,92.77,13.2,13.33,0.03,0.009020671,0,,0.941637279,,,FALSE,1,,Student,
5780,1900660,Adolescent Literacy,742,READ 180®,Business as usual,1161,Dynamic Indicators of Basic Early Literacy Skills (DIBELS): Oral Reading Fluency subtest,Reading Fluency,1 Year,Overall - Grade: 4,TRUE,93,44,49,44,49,88.41,77.68,33.35,28.3,0.25,0.345613506,14,0.002,0.099499529,,,TRUE,1,,Student,
5783,1900660,Adolescent Literacy,742,READ 180®,Business as usual,206,Test of Word Reading Efficiency (TOWRE): Sight Word Efficiency subtest,Alphabetics,1 Year,Overall - Full sample,TRUE,264,133,131,133,131,96.62,97.4,10.62,11.25,0.11,-0.071112338,-3,0.17,0.563959056,,,FALSE,1,,Student,
5784,1900660,Adolescent Literacy,742,READ 180®,Business as usual,204,Test of Word Reading Efficiency (TOWRE): Phonemic Decoding Efficiency subtest,Alphabetics,1 Year,Overall - Full sample,TRUE,264,133,131,133,131,96.48,97.38,14.08,14.62,-0.04,-0.062535976,-2,,0.611858061,,,FALSE,1,,Student,
5785,1900832,Primary Mathematics,652,Odyssey® Math,Business as usual,794,Pennsylvania System of School Assessment,General Mathematics Achievement,0 Days,Full sample,FALSE,207,125,82,7,4,1583,1480,239.15,215.04,,0.446329444,17,,0.151123442,0.2,,FALSE,1,,Student,
5789,1900851,Science,13,The LASER Model,Business as usual,2450,Partnership for the Assessment of Standards-based Science (PASS): Performance Test,Science Achievement,3 Years,Full sample,FALSE,2601,1429,1172,35,32,66.55,65.09,15.5,16.82,0.09,0.090611298,4,0.355,0.023083829,,,FALSE,2,,Student,
5793,1900851,Science,13,The LASER Model,Business as usual,2449,Partnership for the Assessment of Standards-based Science (PASS): Open Ended,Science Achievement,3 Years,Overall - ELL students,TRUE,617,370,247,32,28,62.38,58.05,22.38,20.54,0.2,0.199638313,8,0.043,0.0155126,,,FALSE,2,,Student,
5891,1900835,Children Identified With Or At Risk For An Emotional Disturbance,1241,Functional Behavioral Assessment-based Interventions,None,16034,Time on task,School engagement,1 Year,Full sample,FALSE,1,1,0,1,0,,,,,,,,,0.99999,,,FALSE,1,,Student,
5907,1900847,Children Identified With Or At Risk For An Emotional Disturbance,1241,Functional Behavioral Assessment-based Interventions,None,16035,On-task behavior,School engagement,1 Year,Full sample,FALSE,3,3,0,3,0,,,,,,,,,0.99999,,,FALSE,2,,Student,
5909,1900848,Children Identified With Or At Risk For An Emotional Disturbance,1241,Functional Behavioral Assessment-based Interventions,None,16041,Disruptive behavior (reduction),Problem behavior,1 Year,Full sample,FALSE,2,2,0,2,0,,,,,,,,,0.99999,,,,2,,Student,
5914,1900840,Children Identified With Or At Risk For An Emotional Disturbance,1241,Functional Behavioral Assessment-based Interventions,None,16048,Positive social interactions,Social-emotional development,1 Year,Full sample,FALSE,1,1,0,1,0,,,,,,,,,0.99999,,,FALSE,1,,Student,
5924,1901286,Children Identified With Or At Risk For An Emotional Disturbance,1241,Functional Behavioral Assessment-based Interventions,None,16035,On-task behavior,School engagement,1 Year,Full sample,FALSE,3,3,0,3,0,,,,,,,,,0.99999,,,FALSE,1,,Student,
5925,1901286,Children Identified With Or At Risk For An Emotional Disturbance,1241,Functional Behavioral Assessment-based Interventions,None,16041,Disruptive behavior (reduction),Problem behavior,1 Year,Full sample,FALSE,3,3,0,3,0,,,,,,,,,0.99999,,,FALSE,1,,Student,
5932,1901302,Children and Students with an Autism Spectrum Disorder,1242,Pivotal Response Training,Psychoeducation group (PEG) training,16052,Nonverbally prompted utterances,Communication/ Language,1 Year,Overall - Full sample,TRUE,47,25,22,25,22,3,0.1,3.8,0.3,1.02,1.384523229,35,0.002,0.001078964,,,TRUE,1,,Student,
5933,1901302,Children and Students with an Autism Spectrum Disorder,1242,Pivotal Response Training,Psychoeducation group (PEG) training,16053,Spontaneous utterances,Communication/ Language,1 Year,Overall - Full sample,TRUE,47,25,22,25,22,1.3,0.4,1.4,0.6,0.8,1.163193967,29,0.06,0.008791771,,,TRUE,1,,Student,
5950,1901325,"Teacher Training, Evaluation, and Compensation",719,Communities in Schools,Business as usual,16059,Analytic Writing Continuum for Source-Based Argument Writing: Stance,English language arts achievement,1 Year,Full sample,FALSE,2486,1259,1227,22,22,,,1,1,0.15,0.149954706,6,,0.000222045,,,TRUE,2,Evidence Tier 2,Student,
5954,1901327,Review of Individual Studies,1062,Building Assets Reducing Risks (BARR),Business as usual,16061,Average GPA in core courses,Academic achievement,1 Year,Full sample,FALSE,548,272,276,272,276,,,,,,0.232839994,9,,0.006802658,,,TRUE,1,Evidence Tier 3,Student,
5957,71321,Individual Studies in the Postsecondary Education Topic Area,1117,Social Belonging,Business as usual,1996,GPA,Academic achievement,1 Semester,Overall - Black students,TRUE,37,19,18,19,18,3.49,3.34,0.42,0.38,,0.68,25,0.01,0.064476467,,,TRUE,1,,Student,
